"","EGFR","IGFR","SOS","Ras","PI3K","AKT","Raf","Mek","Erk"
"178",34.1960114772829,4.39438508161106,70,60,64,61,45,78,90
"179",39.4634836379025,2.57282951052855,70,61,60,65,29,76,94
"180",32.1272224796202,4.48696646139325,70,61,68,52,53,76,91
"181",33.9087889915591,3.92811265351099,70,61,67,49,48,83,95
"182",33.214212064081,5.13736609551798,70,67,61,52,42,82,84
"183",38.1765538776894,4.1050027212842,70,54,54,61,41,77,90
"184",33.6056852150388,4.92143417827883,70,55,61,60,38,80,91
"185",38.6324334520245,6.59583628394558,70,67,62,50,48,79,92
"186",40.5298268042037,3.79597361328919,70,53,70,60,45,81,87
"187",37.0756857077171,3.33772883563316,70,62,69,48,45,80,87
"188",38.5453995090761,5.0693471454954,70,49,66,57,38,91,92
"189",35.0376707199477,4.05181224412377,70,59,65,61,45,84,87
"190",38.5109259724827,4.0488085957702,70,55,72,59,24,74,93
"191",33.1836423330148,5.86805985828721,70,60,57,59,41,79,86
"192",36.769686538904,5.15854671960456,70,59,68,65,38,73,95
"193",32.9640418729618,6.2960772841672,70,63,58,57,47,81,87
"194",36.2010473192614,3.9155828452023,70,65,72,61,35,87,90
"195",40.2626889850584,5.39277489743777,70,48,68,58,39,72,91
"196",39.1017033862456,4.97396508998277,70,60,68,66,49,85,90
"197",35.6717214560788,3.74395886623503,70,57,68,60,36,85,89
"198",34.6344401023364,4.06431371987658,70,63,68,56,33,78,89
"199",34.4296728706767,4.80331417020577,70,59,61,52,49,79,91
"200",34.7607429561298,5.14226867473916,70,63,60,56,42,83,94
"201",37.8939508612042,4.54021057546478,70,59,72,58,42,83,93
"202",33.9413434083448,5.61792610249498,70,52,70,62,39,83,93
"203",45.6126922707167,4.279577644998,70,57,75,55,40,82,89
"204",37.6561300342137,4.41648805696617,70,55,70,51,33,75,90
"205",34.1003370108966,5.21632450388831,70,54,67,49,41,84,90
"206",38.1515145448671,6.24499124039295,70,65,64,65,24,78,89
"207",36.634311786045,4.23209801569614,70,60,67,69,37,77,89
"208",35.9483572833993,6.21306312902564,70,68,65,51,45,87,91
"209",38.798390863392,3.85566674345051,70,54,64,60,35,83,90
"210",37.6938222326971,6.47017704967219,70,60,75,53,33,80,88
"211",40.0787385904435,3.49757549251923,70,57,63,65,40,85,86
"212",35.4266534498809,5.14177954079158,70,68,71,58,47,80,94
"213",42.3886187264395,3.4436018725255,70,70,77,60,47,82,92
"214",32.6974107827448,7.17641951836797,70,61,73,64,36,76,92
"215",37.4160585113876,5.29518480198941,70,59,63,62,37,74,86
"216",38.3543911811366,5.44452751979666,70,57,58,61,33,83,87
"217",40.644322373801,6.81819905589899,70,55,67,56,34,78,90
"218",33.0265566258124,5.63571137614199,70,62,73,60,44,76,88
"219",33.5811166720029,4.98774061289078,70,56,71,60,37,73,87
"220",42.0269457111522,5.8109719535917,70,64,66,64,48,86,89
"221",38.1944386251976,5.15006923071298,70,59,71,50,39,80,93
"222",39.1465574051259,5.81713026015283,70,56,67,50,46,91,93
